"ltg","transcript_url","video_link"
"142","https://www.althingi.is/altext/142/f004.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=4"
"142","https://www.althingi.is/altext/142/f005.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=5"
"142","https://www.althingi.is/altext/142/f006.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=6"
"142","https://www.althingi.is/altext/142/f007.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=7"
"142","https://www.althingi.is/altext/142/f008.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=8"
"142","https://www.althingi.is/altext/142/f009.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=9"
"142","https://www.althingi.is/altext/142/f010.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=10"
"142","https://www.althingi.is/altext/142/f011.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=11"
"142","https://www.althingi.is/altext/142/f012.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=12"
"142","https://www.althingi.is/altext/142/f013.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=13"
"142","https://www.althingi.is/altext/142/f014.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=14"
"142","https://www.althingi.is/altext/142/f015.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=15"
"142","https://www.althingi.is/altext/142/f016.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=16"
"142","https://www.althingi.is/altext/142/f017.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=17"
"142","https://www.althingi.is/altext/142/f018.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=18"
"142","https://www.althingi.is/altext/142/f019.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=19"
"142","https://www.althingi.is/altext/142/f020.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=20"
"142","https://www.althingi.is/altext/142/f021.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=21"
"142","https://www.althingi.is/altext/142/f022.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=22"
"142","https://www.althingi.is/altext/142/f023.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=23"
"142","https://www.althingi.is/altext/142/f024.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=24"
"142","https://www.althingi.is/altext/142/f025.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=25"
"142","https://www.althingi.is/altext/142/f026.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=26"
"142","https://www.althingi.is/altext/142/f027.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=27"
"142","https://www.althingi.is/altext/142/f028.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=28"
"142","https://www.althingi.is/altext/142/f029.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=29"
"142","https://www.althingi.is/altext/142/f030.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=142&fundnr=30"
"143","https://www.althingi.is/altext/143/f000.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=143&fundnr=0"
"143","https://www.althingi.is/altext/143/f001.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=143&fundnr=1"
"143","https://www.althingi.is/altext/143/f002.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=143&fundnr=2"
"143","https://www.althingi.is/altext/143/f003.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=143&fundnr=3"
