cycle,legislation,session_number,session_title,session_date,link_to_session
10,2,100,Reunião N.º 100 (28/06/2007),28/06/2007,https://av.parlamento.pt/videos/Plenary/10/2/100
10,2,99,Reunião N.º 99 (27/06/2007),27/06/2007,https://av.parlamento.pt/videos/Plenary/10/2/99
10,2,98,Reunião N.º 98 (22/06/2007),22/06/2007,https://av.parlamento.pt/videos/Plenary/10/2/98
10,2,97,Reunião N.º 97 (21/06/2007),21/06/2007,https://av.parlamento.pt/videos/Plenary/10/2/97
10,2,96,Reunião N.º 96 (20/06/2007),20/06/2007,https://av.parlamento.pt/videos/Plenary/10/2/96
10,2,95,Reunião N.º 95 (15/06/2007),15/06/2007,https://av.parlamento.pt/videos/Plenary/10/2/95
10,2,94,Reunião N.º 94 (14/06/2007),14/06/2007,https://av.parlamento.pt/videos/Plenary/10/2/94
10,2,93,Reunião N.º 93 (08/06/2007),08/06/2007,https://av.parlamento.pt/videos/Plenary/10/2/93
10,2,92,Reunião N.º 92 (06/06/2007),06/06/2007,https://av.parlamento.pt/videos/Plenary/10/2/92
10,2,91,Reunião N.º 91 (01/06/2007),01/06/2007,https://av.parlamento.pt/videos/Plenary/10/2/91
10,2,90,Reunião N.º 90 (31/05/2007),31/05/2007,https://av.parlamento.pt/videos/Plenary/10/2/90
10,2,89,Reunião N.º 89 (30/05/2007),30/05/2007,https://av.parlamento.pt/videos/Plenary/10/2/89
10,2,88,Reunião N.º 88 (25/05/2007),25/05/2007,https://av.parlamento.pt/videos/Plenary/10/2/88
10,2,87,Reunião N.º 87 (24/05/2007),24/05/2007,https://av.parlamento.pt/videos/Plenary/10/2/87
10,2,86,Reunião N.º 86 (23/05/2007),23/05/2007,https://av.parlamento.pt/videos/Plenary/10/2/86
10,2,85,Reunião N.º 85 (18/05/2007),18/05/2007,https://av.parlamento.pt/videos/Plenary/10/2/85
10,2,84,Reunião N.º 84 (17/05/2007),17/05/2007,https://av.parlamento.pt/videos/Plenary/10/2/84
10,2,83,Reunião N.º 83 (16/05/2007),16/05/2007,https://av.parlamento.pt/videos/Plenary/10/2/83
10,2,82,Reunião N.º 82 (10/05/2007),10/05/2007,https://av.parlamento.pt/videos/Plenary/10/2/82
10,2,81,Reunião N.º 81 (09/05/2007),09/05/2007,https://av.parlamento.pt/videos/Plenary/10/2/81
10,2,80,Reunião N.º 80 (04/05/2007),04/05/2007,https://av.parlamento.pt/videos/Plenary/10/2/80
10,2,79,Reunião N.º 79 (03/05/2007),03/05/2007,https://av.parlamento.pt/videos/Plenary/10/2/79
10,2,78,Reunião N.º 78 (02/05/2007),02/05/2007,https://av.parlamento.pt/videos/Plenary/10/2/78
10,2,77,Reunião N.º 77 (27/04/2007),27/04/2007,https://av.parlamento.pt/videos/Plenary/10/2/77
10,2,76,Reunião N.º 76 (26/04/2007),26/04/2007,https://av.parlamento.pt/videos/Plenary/10/2/76
10,2,75,Reunião N.º 75 (25/04/2007),25/04/2007,https://av.parlamento.pt/videos/Plenary/10/2/75
10,2,74,Reunião N.º 74 (20/04/2007),20/04/2007,https://av.parlamento.pt/videos/Plenary/10/2/74
10,2,73,Reunião N.º 73 (19/04/2007),19/04/2007,https://av.parlamento.pt/videos/Plenary/10/2/73
10,2,72,Reunião N.º 72 (18/04/2007),18/04/2007,https://av.parlamento.pt/videos/Plenary/10/2/72
10,2,71,Reunião N.º 71 (12/04/2007),12/04/2007,https://av.parlamento.pt/videos/Plenary/10/2/71
10,2,70,Reunião N.º 70 (11/04/2007),11/04/2007,https://av.parlamento.pt/videos/Plenary/10/2/70
10,2,69,Reunião N.º 69 (04/04/2007),04/04/2007,https://av.parlamento.pt/videos/Plenary/10/2/69
10,2,68,Reunião N.º 68 (03/04/2007),03/04/2007,https://av.parlamento.pt/videos/Plenary/10/2/68
10,2,67,Reunião N.º 67 (30/03/2007),30/03/2007,https://av.parlamento.pt/videos/Plenary/10/2/67
10,2,66,Reunião N.º 66 (29/03/2007),29/03/2007,https://av.parlamento.pt/videos/Plenary/10/2/66
10,2,65,Reunião N.º 65 (28/03/2007),28/03/2007,https://av.parlamento.pt/videos/Plenary/10/2/65
10,2,64,Reunião N.º 64 (23/03/2007),23/03/2007,https://av.parlamento.pt/videos/Plenary/10/2/64
10,2,63,Reunião N.º 63 (22/03/2007),22/03/2007,https://av.parlamento.pt/videos/Plenary/10/2/63
10,2,62,Reunião N.º 62 (21/03/2007),21/03/2007,https://av.parlamento.pt/videos/Plenary/10/2/62
10,2,61,Reunião N.º 61 (16/03/2007),16/03/2007,https://av.parlamento.pt/videos/Plenary/10/2/61
10,2,60,Reunião N.º 60 (15/03/2007),15/03/2007,https://av.parlamento.pt/videos/Plenary/10/2/60
10,2,59,Reunião N.º 59 (14/03/2007),14/03/2007,https://av.parlamento.pt/videos/Plenary/10/2/59
10,2,58,Reunião N.º 58 (08/03/2007),08/03/2007,https://av.parlamento.pt/videos/Plenary/10/2/58
10,2,57,Reunião N.º 57 (07/03/2007),07/03/2007,https://av.parlamento.pt/videos/Plenary/10/2/57
10,2,56,Reunião N.º 56 (02/03/2007),02/03/2007,https://av.parlamento.pt/videos/Plenary/10/2/56
10,2,55,Reunião N.º 55 (01/03/2007),01/03/2007,https://av.parlamento.pt/videos/Plenary/10/2/55
10,2,54,Reunião N.º 54 (28/02/2007),28/02/2007,https://av.parlamento.pt/videos/Plenary/10/2/54
10,2,53,Reunião N.º 53 (23/02/2007),23/02/2007,https://av.parlamento.pt/videos/Plenary/10/2/53
10,2,52,Reunião N.º 52 (22/02/2007),22/02/2007,https://av.parlamento.pt/videos/Plenary/10/2/52
10,2,51,Reunião N.º 51 (21/02/2007),21/02/2007,https://av.parlamento.pt/videos/Plenary/10/2/51
10,2,50,Reunião N.º 50 (16/02/2007),16/02/2007,https://av.parlamento.pt/videos/Plenary/10/2/50
10,2,49,Reunião N.º 49 (15/02/2007),15/02/2007,https://av.parlamento.pt/videos/Plenary/10/2/49
10,2,48,Reunião N.º 48 (09/02/2007),09/02/2007,https://av.parlamento.pt/videos/Plenary/10/2/48
10,2,47,Reunião N.º 47 (08/02/2007),08/02/2007,https://av.parlamento.pt/videos/Plenary/10/2/47
