transcript_id,processed_transcript_text_link,title
slovenia_2022_59_izredna_0_22122023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=994D1AA42CD7DEDBC1258A8D002EE062,59. izredna seja Državnega zbora
slovenia_2022_58_izredna_0_19122023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=D40D7EC0D9F75FD5C1258A8A004EACD9,58. izredna seja Državnega zbora
slovenia_2022_15_redna_0_13122023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=980D725F85B535D0C1258B57005118EE,15. redna seja Državnega zbora
slovenia_2022_15_redna_1_14122023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=110B569E6EC95A68C1258B4D0041CB9D,15. redna seja Državnega zbora
slovenia_2022_15_redna_2_18122023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=5588AD9C5240AF19C1258A8D00471126,15. redna seja Državnega zbora
slovenia_2022_15_redna_3_19122023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=896E44BF1DE1A7FEC1258B4D00432CD5,15. redna seja Državnega zbora
slovenia_2022_57_izredna_0_07122023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=BDE4508839D0BE31C1258A7E002BCECC,57. izredna seja Državnega zbora
slovenia_2022_56_izredna_0_30112023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=32413AFD6EE14B08C1258A770043D6E0,56. izredna seja Državnega zbora
slovenia_2022_56_izredna_1_05122023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=A98D75FBF53F9A8FC1258A7C004A71E5,56. izredna seja Državnega zbora
slovenia_2022_14_redna_0_20112023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=8F0C1580060BAC9EC1258A6F004F9D2D,14. redna seja Državnega zbora
slovenia_2022_14_redna_1_21112023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=84C63039E275D39EC1258B2A004412C9,14. redna seja Državnega zbora
slovenia_2022_14_redna_2_22112023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=AC748BFB83DA6FD1C1258B2A004CEF3C,14. redna seja Državnega zbora
slovenia_2022_14_redna_3_23112023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=2FE92A458CE12F05C1258A8300594CE4,14. redna seja Državnega zbora
slovenia_2022_14_redna_4_24112023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=79E066190F856D4EC1258AAE0036D4A9,14. redna seja Državnega zbora
slovenia_2022_14_redna_5_28112023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=BA2B5B04C08FB057C1258B2A004998D8,14. redna seja Državnega zbora
slovenia_2022_55_izredna_0_16112023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=6906DCA4CDA82413C1258A69003F3F04,55. izredna seja Državnega zbora
slovenia_2022_53_izredna_0_10112023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=D25364920556DC12C1258A63003F16D4,53. izredna seja Državnega zbora
slovenia_2022_52_izredna_0_07112023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=E03FC0F8ABE4DF72C1258B2A004EC3E3,52. izredna seja Državnega zbora
slovenia_2022_50_izredna_0_26102023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=D0D7B5C13B63AF24C1258A54002904C2,50. izredna seja Državnega zbora
slovenia_2022_51_izredna_0_25102023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=1FFDD3B4985E8E30C1258A75004992A9,51. izredna seja Državnega zbora
slovenia_2022_13_redna_0_16102023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=51B3659477A700AEC1258A4E003E4992,13. redna seja Državnega zbora
slovenia_2022_13_redna_1_17102023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=7D03E3ECE6C184BEC1258AF400465A7D,13. redna seja Državnega zbora
slovenia_2022_13_redna_2_18102023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=A6D833D2F469E3DDC1258AF400478BC8,13. redna seja Državnega zbora
slovenia_2022_49_izredna_0_13102023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=E6B17897391157E2C1258A4700409761,49. izredna seja Državnega zbora
slovenia_2022_48_izredna_0_09102023,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=6D2DB7F3F0F5D6F9C1258B2A004E2BF2,48. izredna seja Državnega zbora
