video_id,processed_video_link,title
slovenia_18_Redna_2_02042024,https://365.rtvslo.si/embed/175034606?a=1&d=1,Državni zbor (18. Redna)
slovenia_20_Redna_0_04042024,https://365.rtvslo.si/embed/175035047?a=1&d=1,Državni zbor (20. Redna)
slovenia_21_Redna_0_12042024,https://365.rtvslo.si/embed/175037069?a=1&d=1,Državni zbor (21. Redna)
slovenia_67_Izredna_0_17042024,https://365.rtvslo.si/embed/175038322?a=1&d=1,Državni zbor (67. Izredna)
slovenia_67_Izredna_1_17042024,https://365.rtvslo.si/embed/175038373?a=1&d=1,Državni zbor (67. Izredna)
slovenia_67_Izredna_2_17042024,https://365.rtvslo.si/embed/175038378?a=1&d=1,Državni zbor (67. Izredna)
slovenia_19_Redna_0_22042024,https://365.rtvslo.si/embed/175039512?a=1&d=1,Državni zbor (19. Redna)
slovenia_19_Redna_1_22042024,https://365.rtvslo.si/embed/175039543?a=1&d=1,Državni zbor (19. Redna)
slovenia_19_Redna_0_23042024,https://365.rtvslo.si/embed/175039754?a=1&d=1,Državni zbor (19. Redna)
slovenia_19_Redna_1_23042024,https://365.rtvslo.si/embed/%0A175039817?a=1&d=1,Državni zbor (19. Redna)
slovenia_19_Redna_2_23042024,https://365.rtvslo.si/embed/%0A175039887?a=1&d=1,Državni zbor (19. Redna)
slovenia_68_Izredna_0_24042024,https://365.rtvslo.si/embed/175040064?a=1&d=1,Državni zbor (68. Izredna)
slovenia_68_Izredna_1_24042024,https://365.rtvslo.si/embed/%0A175040067?a=1&d=1,Državni zbor (68. Izredna)
slovenia_68_Izredna_2_24042024,https://365.rtvslo.si/embed/%0A175040094?a=1&d=1,Državni zbor (68. Izredna)
slovenia_68_Izredna_3_24042024,https://365.rtvslo.si/embed/%0A175040175?a=1&d=1,Državni zbor (68. Izredna)
slovenia_68_Izredna_4_24042024,https://365.rtvslo.si/embed/%0A175040399?a=1&d=1,Državni zbor (68. Izredna)
slovenia_68_Izredna_0_25042024,https://365.rtvslo.si/embed/175041433?a=1&d=1,Državni zbor (68. Izredna)
slovenia_68_Izredna_1_25042024,https://365.rtvslo.si/embed/%0A175041466?a=1&d=1,Državni zbor (68. Izredna)
slovenia_68_Izredna_2_25042024,https://365.rtvslo.si/embed/%0A175041528?a=1&d=1,Državni zbor (68. Izredna)
slovenia_68_Izredna_3_25042024,https://365.rtvslo.si/embed/%0A175041529?a=1&d=1,Državni zbor (68. Izredna)
slovenia_19_Redna_0_26042024,https://365.rtvslo.si/embed/175041766?a=1&d=1,Državni zbor (19. Redna)
slovenia_19_Redna_1_26042024,https://365.rtvslo.si/embed/175041778?a=1&d=1,Državni zbor (19. Redna)
slovenia_17_Redna_0_04032024,https://365.rtvslo.si/embed/175027646?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_1_04032024,https://365.rtvslo.si/embed/175027668?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_0_05032024,https://365.rtvslo.si/embed/175027862?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_1_05032024,https://365.rtvslo.si/embed/175027908?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_0_06032024,https://365.rtvslo.si/embed/175028168?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_0_07032024,https://365.rtvslo.si/embed/175028439?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_1_07032024,https://365.rtvslo.si/embed/175028477?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_2_07032024,https://365.rtvslo.si/embed/175028493?a=1&d=1,Državni zbor (17. Redna)
slovenia_18_Redna_0_25032024,https://365.rtvslo.si/embed/175032782?a=1&d=1,Državni zbor (18. Redna)
slovenia_18_Redna_0_26032024,https://365.rtvslo.si/embed/175033043?a=1&d=1,Državni zbor (18. Redna)
slovenia_18_Redna_1_26032024,https://365.rtvslo.si/embed/175033052?a=1&d=1,Državni zbor (18. Redna)
slovenia_18_Redna_2_26032024,https://365.rtvslo.si/embed/175033090?a=1&d=1,Državni zbor (18. Redna)
slovenia_18_Redna_0_27032024,https://365.rtvslo.si/embed/175033256?a=1&d=1,Državni zbor (18. Redna)
slovenia_18_Redna_1_27032024,https://365.rtvslo.si/embed/175033285?a=1&d=1,Državni zbor (18. Redna)
slovenia_18_Redna_0_28032024,https://365.rtvslo.si/embed/175033540?a=1&d=1,Državni zbor (18. Redna)
slovenia_18_Redna_1_28032024,https://365.rtvslo.si/embed/175033576?a=1&d=1,Državni zbor (18. Redna)
slovenia_18_Redna_2_28032024,https://365.rtvslo.si/embed/175033613?a=1&d=1,Državni zbor (18. Redna)
slovenia_18_Redna_3_28032024,https://365.rtvslo.si/embed/175033664?a=1&d=1,Državni zbor (18. Redna)
slovenia_16_Redna_0_01022024,https://365.rtvslo.si/embed/175020477?a=1&d=1,Državni zbor (16. Redna)
slovenia_63_Izredna_0_16022024,https://365.rtvslo.si/embed/175023622?a=1&d=1,Državni zbor (63. Izredna)
slovenia_63_Izredna_1_16022024,https://365.rtvslo.si/embed/175023733?a=1&d=1,Državni zbor (63. Izredna)
slovenia_63_Izredna_2_16022024,https://365.rtvslo.si/embed/%0A175023696?a=1&d=1,Državni zbor (63. Izredna)
slovenia_62_Izredna_0_21022024,https://365.rtvslo.si/embed/175024779?a=1&d=1,Državni zbor (62. Izredna)
slovenia_62_Izredna_1_21022024,https://365.rtvslo.si/embed/175024835?a=1&d=1,Državni zbor (62. Izredna)
slovenia_64_Izredna_0_21022024,https://365.rtvslo.si/embed/175024880?a=1&d=1,Državni zbor (64. Izredna)
slovenia_60_Izredna_0_12012024,https://365.rtvslo.si/embed/175015156?a=1&d=1,Državni zbor (60. Izredna)
slovenia_60_Izredna_1_12012024,https://365.rtvslo.si/embed/175015145?a=1&d=1,Državni zbor (60. Izredna)
slovenia_17_Redna_0_19012024,https://365.rtvslo.si/embed/175016790?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_1_19012024,https://365.rtvslo.si/embed/175016804?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_0_22012024,https://365.rtvslo.si/embed/175016790?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_1_22012024,https://365.rtvslo.si/embed/175016804?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_0_23012024,https://365.rtvslo.si/embed/175016790?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_1_23012024,https://365.rtvslo.si/embed/175016804?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_0_24012024,https://365.rtvslo.si/embed/175016790?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_1_24012024,https://365.rtvslo.si/embed/175016804?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_0_25012024,https://365.rtvslo.si/embed/175016790?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_1_25012024,https://365.rtvslo.si/embed/175016804?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_0_26012024,https://365.rtvslo.si/embed/175016790?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_1_26012024,https://365.rtvslo.si/embed/175016804?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_0_29012024,https://365.rtvslo.si/embed/175016790?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_1_29012024,https://365.rtvslo.si/embed/175016804?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_0_30012024,https://365.rtvslo.si/embed/175016790?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_1_30012024,https://365.rtvslo.si/embed/175016804?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_0_31012024,https://365.rtvslo.si/embed/175016790?a=1&d=1,Državni zbor (17. Redna)
slovenia_17_Redna_1_31012024,https://365.rtvslo.si/embed/175016804?a=1&d=1,Državni zbor (17. Redna)
slovenia_56_Izredna_0_05122023,https://365.rtvslo.si/embed/175006466?a=1&d=1,Državni zbor (56. Izredna)
slovenia_57_Izredna_0_07122023,https://365.rtvslo.si/embed/175006954?a=1&d=1,Državni zbor (57. Izredna)
slovenia_57_Izredna_1_07122023,https://365.rtvslo.si/embed/175006968?a=1&d=1,Državni zbor (57. Izredna)
slovenia_15_Redna_0_13122023,https://365.rtvslo.si/embed/175008523?a=1&d=1,Državni zbor (15. Redna)
slovenia_15_Redna_1_13122023,https://365.rtvslo.si/embed/%0A175008552?a=1&d=1,Državni zbor (15. Redna)
slovenia_15_Redna_2_13122023,https://365.rtvslo.si/embed/%0A175008587?a=1&d=1,Državni zbor (15. Redna)
slovenia_15_Redna_0_14122023,https://365.rtvslo.si/embed/175008695%0A175008746?a=1&d=1,Državni zbor (15. Redna)
slovenia_15_Redna_1_14122023,https://365.rtvslo.si/embed/%0A175008754?a=1&d=1,Državni zbor (15. Redna)
slovenia_15_Redna_2_14122023,https://365.rtvslo.si/embed/%0A175008764?a=1&d=1,Državni zbor (15. Redna)
slovenia_15_Redna_0_18122023,https://365.rtvslo.si/embed/175009702?a=1&d=1,Državni zbor (15. Redna)
slovenia_15_Redna_1_18122023,https://365.rtvslo.si/embed/175009787?a=1&d=1,Državni zbor (15. Redna)
slovenia_15_Redna_0_19122023,https://365.rtvslo.si/embed/175009909?a=1&d=1,Državni zbor (15. Redna)
slovenia_15_Redna_1_19122023,https://365.rtvslo.si/embed/175009942?a=1&d=1,Državni zbor (15. Redna)
slovenia_58_Izredna_0_19122023,https://365.rtvslo.si/embed/175009989?a=1&d=1,Državni zbor (58. Izredna)
slovenia_58_Izredna_1_19122023,https://365.rtvslo.si/embed/175010027?a=1&d=1,Državni zbor (58. Izredna)
slovenia_59_Izredna_0_22122023,https://365.rtvslo.si/embed/175010776?a=1&d=1,Državni zbor (59. Izredna)
