video_id,mp4_video_link,title
serbia_2012_83_04102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100410a.mp4,Друга седница Другог редовног заседања Народне скупштине Републике Србије у 2013. години 04.10.2013. први део
serbia_2012_84_02102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100210b.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 02.10.2013. трећи део
serbia_2012_85_02102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100210a.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 02.10.2013. други део
serbia_2012_86_02102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100210.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 02.10.2013. први део
serbia_2012_87_01102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100110a.mp4,Прва седница Другог редовног заседања Народне скупштине Републике Србије у 2013. години 01.10.2013. други део
serbia_2012_88_01102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100110.mp4,Прва седница Другог редовног заседања Народне скупштине Републике Србије у 2013. години 01.10.2013. први део
serbia_2012_89_02092013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013090211h.mp4,наставак Шесте посебне седнице Народне скупштине Републике Србије у 2013. години 02.09.2013. осми део 23:22 - 23:37
serbia_2012_90_02092013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013090211g.mp4,наставак Шесте посебне седнице Народне скупштине Републике Србије у 2013. години 02.09.2013. седми део - полагање заклетве
serbia_2012_91_02092013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013090211f.mp4,наставак Шесте посебне седнице Народне скупштине Републике Србије у 2013. години 02.09.2013. шести део - гласање
serbia_2012_92_02092013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013090211e.mp4,наставак Шесте посебне седнице Народне скупштине Републике Србије у 2013. години 02.09.2013. пети део 21:25 - 22:42
serbia_2012_93_02092013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013090211d.mp4,наставак Шесте посебне седнице Народне скупштине Републике Србије у 2013. години 02.09.2013. четврти део 19:03 - 21:25
serbia_2012_94_02092013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013090211c.mp4,наставак Шесте посебне седнице Народне скупштине Републике Србије у 2013. години 02.09.2013. трећи део 16:20 - 19:03
serbia_2012_95_02092013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013090211b.mp4,наставак Шесте посебне седнице Народне скупштине Републике Србије у 2013. години 02.09.2013. други део 13:37 - 15:20
serbia_2012_96_02092013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013090211a.mp4,наставак Шесте посебне седнице Народне скупштине Републике Србије у 2013. години 02.09.2013. први део
serbia_2012_97_31082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013083110c.mp4,наставак Шесте посебне седнице Народне скупштине Републике Србије у 2013. години 31.08.2013. трећи део 15:15 - 18:00
serbia_2012_98_31082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013083110b.mp4,наставак Шесте посебне седнице Народне скупштине Републике Србије у 2013. години 31.08.2013. други део 12:45 - 14:03
serbia_2012_99_31082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013083110a.mp4,наставак Шесте посебне седнице Народне скупштине Републике Србије у 2013. години 31.08.2013. први део
serbia_2012_100_30082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013083015e.mp4,Шеста посебна седница Народне скупштине Републике Србије у 2013. години 30.08.2013. пети део 19:28 - 21:20
serbia_2012_101_30082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013083015d.mp4,Шеста посебна седница Народне скупштине Републике Србије у 2013. години 30.08.2013. четврти део 18:10 - 19:28
serbia_2012_102_30082013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013083015c.mp4,Шеста посебна седница Народне скупштине Републике Србије у 2013. години 30.08.2013. трећи део 16:47 - 18:10
