transcript_id,processed_transcript_text_link,transcript_title,date,,video_id,mp4_video_link,video_title,merged_id
serbia_2016_52_10122019,https://otvoreniparlament.rs/transkript/7744,Osma sednica Drugog redovnog zasedanja,10122019,,serbia_2016_201_10122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121010b.mp4,наставак Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 10.12.2019.,serbia_2016_52_10122019_serbia_2016_201_10122019
serbia_2016_52_10122019,https://otvoreniparlament.rs/transkript/7744,Osma sednica Drugog redovnog zasedanja,10122019,,serbia_2016_202_10122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121010a.mp4,наставак Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 10.12.2019.,serbia_2016_52_10122019_serbia_2016_202_10122019
serbia_2016_52_10122019,https://otvoreniparlament.rs/transkript/7744,Osma sednica Drugog redovnog zasedanja,10122019,,serbia_2016_203_10122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019121010.mp4,наставак Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 10.12.2019.,serbia_2016_52_10122019_serbia_2016_203_10122019
serbia_2016_53_09122019,https://otvoreniparlament.rs/transkript/7743,Osma sednica Drugog redovnog zasedanja,09122019,,serbia_2016_204_09122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120910c.mp4,Осма седница Другог редовног заседања Народне скупштине Републике Србије у 2019. години 09.12.2019.,serbia_2016_53_09122019_serbia_2016_204_09122019
serbia_2016_53_09122019,https://otvoreniparlament.rs/transkript/7743,Osma sednica Drugog redovnog zasedanja,09122019,,serbia_2016_205_09122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120910b.mp4,Осма седница Другог редовног заседања Народне скупштине Републике Србије у 2019. години 09.12.2019.,serbia_2016_53_09122019_serbia_2016_205_09122019
serbia_2016_53_09122019,https://otvoreniparlament.rs/transkript/7743,Osma sednica Drugog redovnog zasedanja,09122019,,serbia_2016_206_09122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120914.mp4,Дан за гласање о 1. тачки дневног реда Осме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 09.12.2019.,serbia_2016_53_09122019_serbia_2016_206_09122019
serbia_2016_53_09122019,https://otvoreniparlament.rs/transkript/7743,Osma sednica Drugog redovnog zasedanja,09122019,,serbia_2016_207_09122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120910a.mp4,Осма седница Другог редовног заседања Народне скупштине Републике Србије у 2019. години 09.12.2019.,serbia_2016_53_09122019_serbia_2016_207_09122019
serbia_2016_53_09122019,https://otvoreniparlament.rs/transkript/7743,Osma sednica Drugog redovnog zasedanja,09122019,,serbia_2016_208_09122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120910.mp4,Осма седница Другог редовног заседања Народне скупштине Републике Србије у 2019. години 09.12.2019.,serbia_2016_53_09122019_serbia_2016_208_09122019
serbia_2016_54_06122019,https://otvoreniparlament.rs/transkript/7742,Sedma sednica Drugog redovnog zasedanja,06122019,,serbia_2016_209_06122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120610.mp4,Дан за гласање о свим тачкама Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 06.12.2019.,serbia_2016_54_06122019_serbia_2016_209_06122019
serbia_2016_55_05122019,https://otvoreniparlament.rs/transkript/7741,Sedma sednica Drugog redovnog zasedanja,05122019,,serbia_2016_210_05122019,http://217.26.67.44/filesnsrs/zasedanja/zas2019120510c.mp4,наставак Седме седнице Другог редовног заседања Народне скупштине Републике Србије у 2019. години 05.12.2019.,serbia_2016_55_05122019_serbia_2016_210_05122019
