link,title,date,mp4_links,514_mp4_truncated,srt_link
https://www.bundestag.de/mediathek?videoid=7613532#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"3. Juli 2024 
Warnung vor einseitiger Belastung des deutschen Luftverkehrs 3. Juli 2024",2024-07-03,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613532/7613532_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613532/7613532_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613532/7613532_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613532/7613532_h264_512_288_514kb_baseline_de_514.mp4,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613532/7613532.srt
https://www.bundestag.de/mediathek?videoid=7323164#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"13. Februar 2019 
Suche nach neuen Formen gemeinwohlorientierten Wirtschaftens 13. Februar 2019",2019-02-13,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7323164/7323164_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7323164/7323164_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7323164/7323164_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7323164/7323164_h264_512_288_514kb_baseline_de_514.mp4,
https://www.bundestag.de/mediathek?videoid=685923#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"7. Juli 2010 
Kontroverse um Atomausstieg 7. Juli 2010",2010-07-07,[],,
https://www.bundestag.de/mediathek?videoid=7552072#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"29. März 2023 
Experten mahnen Ausbau sozialer Sicherungs­systeme im Globalen Süden an 29. März 2023",2023-03-29,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7552072/7552072_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7552072/7552072_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7552072/7552072_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7552072/7552072_h264_512_288_514kb_baseline_de_514.mp4,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7552072/7552072.srt
https://www.bundestag.de/mediathek?videoid=7601991#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"18. Oktober 2023 
Sachverständige: Nach­schärfen bei inter­nationaler Digitalstrategie 18. Oktober 2023",2023-10-18,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601991/7601991_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601991/7601991_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601991/7601991_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601991/7601991_h264_512_288_514kb_baseline_de_514.mp4,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601991/7601991.srt
https://www.bundestag.de/mediathek?videoid=7524057#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"27. Mai 2021 
Sachverständige raten zur Vorsicht bei Öffnungsstrategien 27. Mai 2021",2021-05-27,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7524057/7524057_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7524057/7524057_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7524057/7524057_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7524057/7524057_h264_512_288_514kb_baseline_de_514.mp4,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7524057/7524057.srt
https://www.bundestag.de/mediathek?videoid=7549282#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"14. Dezember 2022 
Anhörung zum Thema Nachhaltigkeit aus Sicht der Gewerkschaft 14. Dezember 2022",2022-12-14,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7549282/7549282_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7549282/7549282_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7549282/7549282_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7549282/7549282_h264_512_288_514kb_baseline_de_514.mp4,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7549282/7549282.srt
https://www.bundestag.de/mediathek?videoid=1523507#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"23. Januar 2012 
Experten stimmen weiterer Bankenabsicherung zu 23. Januar 2012",2012-01-23,[],,
https://www.bundestag.de/mediathek?videoid=7606899#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"21. Februar 2024 
56. Sitzung des Parlamentarischen Beirats für nachhaltige Entwicklung 21. Februar 2024",2024-02-21,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7606899/7606899_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7606899/7606899_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7606899/7606899_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7606899/7606899_h264_512_288_514kb_baseline_de_514.mp4,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7606899/7606899.srt
https://www.bundestag.de/mediathek?videoid=7388939#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"25. September 2019 
Zustimmung unter Experten zu Wohngeldplänen der Regierung 25. September 2019",2019-09-25,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7388939/7388939_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7388939/7388939_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7388939/7388939_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7388939/7388939_h264_512_288_514kb_baseline_de_514.mp4,
