transcript_id,doc_link,docx_link,transcript_title,date,video_id,mp3_link,video_title,merged_id
lithuania_1996_eilinė_5_3108_15101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65808/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 244 (1998-10-15),15101998,lithuania_16_15101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=2FC22CAA-A288-4F5F-9BAF-31A229BD3DFA,,lithuania_1996_eilinė_5_3108_15101998_lithuania_16_15101998
lithuania_1996_eilinė_5_3108_15101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65808/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 244 (1998-10-15),15101998,lithuania_17_15101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=920A8AAE-4758-4942-B737-98CF0DBAB049,,lithuania_1996_eilinė_5_3108_15101998_lithuania_17_15101998
lithuania_1996_eilinė_5_3109_13101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65797/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 241 (1998-10-13),13101998,lithuania_18_13101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=72B49488-C7BB-4130-B7AB-CF5A9BF293E8,,lithuania_1996_eilinė_5_3109_13101998_lithuania_18_13101998
lithuania_1996_eilinė_5_3109_13101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65797/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 241 (1998-10-13),13101998,lithuania_19_13101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=2AFC6F69-DC8E-4138-864F-E0B1EBB9AC06,,lithuania_1996_eilinė_5_3109_13101998_lithuania_19_13101998
lithuania_1996_eilinė_5_3110_13101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65798/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 242 (1998-10-13),13101998,lithuania_18_13101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=72B49488-C7BB-4130-B7AB-CF5A9BF293E8,,lithuania_1996_eilinė_5_3110_13101998_lithuania_18_13101998
lithuania_1996_eilinė_5_3110_13101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65798/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 242 (1998-10-13),13101998,lithuania_19_13101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=2AFC6F69-DC8E-4138-864F-E0B1EBB9AC06,,lithuania_1996_eilinė_5_3110_13101998_lithuania_19_13101998
lithuania_1996_eilinė_5_3111_08101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65592/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 239 (1998-10-08),08101998,lithuania_0_08101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=AEDB12E8-46BB-4438-B832-7EC82F6B54AC,,lithuania_1996_eilinė_5_3111_08101998_lithuania_0_08101998
lithuania_1996_eilinė_5_3111_08101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65592/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 239 (1998-10-08),08101998,lithuania_1_08101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=288929F8-B30D-46DC-A55C-E084108E6A50,,lithuania_1996_eilinė_5_3111_08101998_lithuania_1_08101998
lithuania_1996_eilinė_5_3112_08101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65749/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 240 (1998-10-08),08101998,lithuania_0_08101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=AEDB12E8-46BB-4438-B832-7EC82F6B54AC,,lithuania_1996_eilinė_5_3112_08101998_lithuania_0_08101998
lithuania_1996_eilinė_5_3112_08101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65749/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 240 (1998-10-08),08101998,lithuania_1_08101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=288929F8-B30D-46DC-A55C-E084108E6A50,,lithuania_1996_eilinė_5_3112_08101998_lithuania_1_08101998
lithuania_1996_eilinė_5_3113_06101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65073/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 237 (1998-10-06),06101998,lithuania_2_06101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=50374CB1-F1F1-4C1A-84BE-EF541C3B163E,,lithuania_1996_eilinė_5_3113_06101998_lithuania_2_06101998
lithuania_1996_eilinė_5_3113_06101998,,https://e-seimas.lrs.lt/rs/legalact/TAK/TAIS.65073/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 237 (1998-10-06),06101998,lithuania_3_06101998,https://renginiai.lrs.lt/renginiai/LT/_layouts/Act/ESeimasMedia/GetObject.ashx?id=CFD72DEC-B65F-4A98-8DF3-99836697225F,,lithuania_1996_eilinė_5_3113_06101998_lithuania_3_06101998
