label,date,title,session_number,detail_link
ASSEMBLEA,2013-11-26T10:30:00Z,Seduta di Assemblea n.,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-6
ASSEMBLEA,2013-11-25T16:00:00Z,Seduta di Assemblea n. 140,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-140
ASSEMBLEA,2013-11-22T10:30:00Z,Seduta di Assemblea n. 139,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-139
ASSEMBLEA,2013-11-18T12:00:00Z,Seduta di Assemblea n. 138,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-138
ASSEMBLEA,2013-11-07T10:30:00Z,Seduta di Assemblea n.,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-7
ASSEMBLEA,2013-11-06T17:00:00Z,Seduta di Assemblea n. 136,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-136
ASSEMBLEA,2013-11-06T10:30:00Z,Seduta di Assemblea n. 135,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-135
ASSEMBLEA,2013-11-05T16:00:00Z,Seduta di Assemblea n. 134,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-134
ASSEMBLEA,2013-10-29T10:30:00Z,Seduta di Assemblea n. 133,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-133
ASSEMBLEA,2013-10-24T11:30:00Z,Seduta di Assemblea n. 132,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-132
ASSEMBLEA,2013-10-23T18:30:00Z,Seduta di Assemblea n. 131,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-131
ASSEMBLEA,2013-10-23T11:30:00Z,Seduta di Assemblea n. 130,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-130
ASSEMBLEA,2013-10-22T18:00:00Z,Seduta di Assemblea n. 129,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-129
ASSEMBLEA,2013-10-17T18:00:00Z,Seduta di Assemblea n. 128,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-128
ASSEMBLEA,2013-10-17T11:00:00Z,Seduta di Assemblea n. 127,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-127
ASSEMBLEA,2013-10-16T18:30:00Z,Seduta di Assemblea n. 127,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-127-0
ASSEMBLEA,2013-10-16T11:30:00Z,Seduta di Assemblea n. 126,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-126
ASSEMBLEA,2013-10-15T18:00:00Z,Seduta di Assemblea n.,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-8
ASSEMBLEA,2013-10-11T11:30:00Z,Seduta di Assemblea n. 124,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-124
ASSEMBLEA,2013-10-10T18:00:00Z,Seduta di Assemblea n. 123,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-123
ASSEMBLEA,2013-10-10T11:30:00Z,Seduta di Assemblea n. 122,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-122
ASSEMBLEA,2013-10-09T18:00:00Z,Seduta di Assemblea n. 121,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-121
ASSEMBLEA,2013-10-09T11:30:00Z,Seduta di Assemblea n. 120,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-120
ASSEMBLEA,2013-10-08T18:00:00Z,Seduta di Assemblea n. 119,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-119
ASSEMBLEA,2013-10-03T18:00:00Z,Seduta di Assemblea n. 118,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-118
ASSEMBLEA,2013-10-03T11:30:00Z,Seduta di Assemblea n. 117,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-117
ASSEMBLEA,2013-10-02T18:00:00Z,Seduta di Assemblea n. 116,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-116
ASSEMBLEA,2013-10-02T11:30:00Z,Seduta di Assemblea n. 115,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-115
ASSEMBLEA,2013-10-01T18:00:00Z,Seduta di Assemblea n. 114,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-114
ASSEMBLEA,2013-09-26T11:30:00Z,Seduta di Assemblea n. 112,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-112
ASSEMBLEA,2013-09-25T18:30:00Z,Seduta di Assemblea n. 111,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-111
ASSEMBLEA,2013-09-25T11:30:00Z,Seduta di Assemblea n. 110,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-110
ASSEMBLEA,2013-09-24T18:00:00Z,Seduta di Assemblea n. 109,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-109
ASSEMBLEA,2013-09-24T14:00:00Z,Seduta di Assemblea n. 108,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-108
ASSEMBLEA,2013-09-19T18:00:00Z,Seduta di Assemblea n. 107,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-107
ASSEMBLEA,2013-09-19T11:30:00Z,Seduta di Assemblea n. 106,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-106
ASSEMBLEA,2013-09-18T18:00:00Z,Seduta di Assemblea n. 105,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-105
ASSEMBLEA,2013-09-18T13:00:00Z,Seduta di Assemblea n. 104,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-104
ASSEMBLEA,2013-09-17T18:00:00Z,Seduta di Assemblea n. 103,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-103
