transcript_link,date,youtube_link
/et/202204121000,2022-04-12 10:00:00,https://www.youtube.com/watch?v=VwPA4ZDwD_8
/et/202204131200,2022-04-13 12:00:00,
/et/202204131230,2022-04-13 12:30:00,https://www.youtube.com/watch?v=Ok4YYPRPWRI
/et/202204131400,2022-04-13 14:00:00,https://www.youtube.com/watch?v=bfihr3282ow
/et/202204131400,2022-04-13 14:00:00,https://www.youtube.com/watch?v=2IfjQXlcbIs
/et/202204141000,2022-04-14 10:00:00,
/et/202204181500,2022-04-18 15:00:00,https://www.youtube.com/watch?v=JewYY0Pn1mA
/et/202204191000,2022-04-19 10:00:00,https://www.youtube.com/watch?v=bzszROMK8EQ
/et/202204201200,2022-04-20 12:00:00,https://www.youtube.com/watch?v=JNCsVqmsXZI
/et/202204201400,2022-04-20 14:00:00,https://www.youtube.com/watch?v=MfgzluqB230
/et/202204211000,2022-04-21 10:00:00,https://www.youtube.com/watch?v=1NxP9Ln7_uY
/et/202204211143,2022-04-21 11:43:00,https://www.youtube.com/watch?v=06tmBhdCDAk
/et/202205021500,2022-05-02 15:00:00,https://www.youtube.com/watch?v=KG-OISDYn0I
/et/202205031000,2022-05-03 10:00:00,https://www.youtube.com/watch?v=4clE_x-nTBw
/et/202205041200,2022-05-04 12:00:00,https://www.youtube.com/watch?v=dY64E6q7SOQ
/et/202205041400,2022-05-04 14:00:00,https://www.youtube.com/watch?v=ioDRO8FWMkY
/et/202205041700,2022-05-04 17:00:00,https://www.youtube.com/watch?v=owShlViN528
/et/202205051000,2022-05-05 10:00:00,https://www.youtube.com/watch?v=CgJ9FuauPJE
/et/202205091500,2022-05-09 15:00:00,https://www.youtube.com/watch?v=VQrZFYGkzIM
/et/202205101000,2022-05-10 10:00:00,https://www.youtube.com/watch?v=8MeZgB2xx3U
/et/202205111200,2022-05-11 12:00:00,https://www.youtube.com/watch?v=uFkJIHZ73KM
/et/202205111400,2022-05-11 14:00:00,https://www.youtube.com/watch?v=y1FZMnOolro
/et/202205121000,2022-05-12 10:00:00,https://www.youtube.com/watch?v=t0F5vhc9mVw
/et/202205161500,2022-05-16 15:00:00,https://www.youtube.com/watch?v=acQzIY4DSWE
/et/202205171000,2022-05-17 10:00:00,https://www.youtube.com/watch?v=bfGtoSoY-KY
/et/202205181200,2022-05-18 12:00:00,https://www.youtube.com/watch?v=l02N7awTYig
/et/202205181400,2022-05-18 14:00:00,https://www.youtube.com/watch?v=YFtD5a0bhZw
/et/202205181400,2022-05-18 14:00:00,https://www.youtube.com/watch?v=Csj5B9njYh0
/et/202205191000,2022-05-19 10:00:00,https://www.youtube.com/watch?v=Yc_tUACAVDw
/et/202205301500,2022-05-30 15:00:00,https://www.youtube.com/watch?v=xMaQfDCKcFM
