session_date,session_title,session_url,Audio zapis,Izvještaj,Obavještenje,Poslanička pitanja,Rezultati glasanja,Stenogram,Zapisnik
2010-01-21 00:00:00,70. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1656&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=24ed9d6c-da39-4229-be1f-d4b83d0e97e2&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=6d9459aa-158a-4cd1-ae47-77686cdff7ed&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=23b4bdb8-a7d3-48d9-8994-ab0b5c153c18&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1656,,https://parlament.ba/session/DownloadDocument?DocumentId=6a4d5861-1e1d-49ea-8a61-67b8bedb28cb&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=190a8ab9-4d24-48ad-b5aa-55a9b0404a6d&langTag=bs
2010-01-12 00:00:00,Nastavak 69. sjednice Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1655&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=d6d0f2d9-ab8c-4a10-a0aa-93a71203165c&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=38b8c617-db6e-4c61-bdab-1dc24444abce&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=32b1e9e1-9e07-496f-a7a8-33d385c92f28&langTag=bs,,,,https://parlament.ba/session/DownloadDocument?DocumentId=c3794a3d-f584-4d97-8f73-02298adbee97&langTag=bs
2009-12-30 00:00:00,69. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1654&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=1597e5b9-58e8-4274-9ff0-bd13081dd22c&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=594e9c98-0eef-4056-b4df-6db92b7bc339&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=8edeb1fe-f77a-4004-9e30-29e708967bf7&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1654,,https://parlament.ba/session/DownloadDocument?DocumentId=46292aeb-7b08-4dee-a2f0-53de1162ebac&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=362a87be-d826-4ff6-b3a6-fa32560825d4&langTag=bs
2009-12-30 00:00:00,68. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1653&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=292b1236-a349-4ec7-a675-249563f13f13&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=ca46af75-0ad6-4317-b732-f877d6618041&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=ff9e9329-accd-44f0-aa07-8822f79ba23e&langTag=bs,,,https://parlament.ba/session/DownloadDocument?DocumentId=fd8ff4d0-614a-4a2a-a23e-f272e6cb14ff&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=625b79f8-4880-450e-9be6-841d40bfddad&langTag=bs
2009-12-23 00:00:00,67. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1652&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=41f97f01-2033-4409-9824-76462fd0fed1&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=294dae94-6e99-4b83-8223-909063fff481&langTag=bs,,,,https://parlament.ba/session/DownloadDocument?DocumentId=751330cc-c309-4441-96bd-ed010017d5e6&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=137e0783-d88e-4f70-bc8b-ab98ec0cc139&langTag=bs
2009-12-16 00:00:00,66. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1651&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=f0e33559-e0a0-43dc-af08-ecad6b0daf9e&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=f6d2249c-c39d-49d4-8648-710d1453d003&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=637e6745-0ae0-4a04-9cdc-84bf4a6073e2&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1651,,https://parlament.ba/session/DownloadDocument?DocumentId=cf94f94d-2eb9-4968-a07b-6b367dd732cf&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=e2b24dce-a9bf-4e86-8ba7-aee75c8e49d3&langTag=bs
2009-12-07 00:00:00,65. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1650&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=457946a2-ba52-464a-927e-a3ea0ebd243e&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=dee417f6-f1ab-470f-a14c-2d18410e7d63&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=a80c3829-6d4a-4c84-9cd5-9f4f925fb570&langTag=bs,,,https://parlament.ba/session/DownloadDocument?DocumentId=092d0c46-9368-4f25-aed8-0636a03a15e1&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=330cf3b6-7af1-45ec-b66e-c8838ddb1238&langTag=bs
2009-12-07 00:00:00,Nastavak 64. sjednice Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1649&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=450f0079-6810-4d6b-a8d9-3d341ff19fd1&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=36a559f9-f47b-42b4-ba29-72b459a35bff&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=e4c6de6a-cb89-4bd8-afd7-ab4d2164bcfc&langTag=bs,,,https://parlament.ba/session/DownloadDocument?DocumentId=942b72f4-11b2-43b3-badc-df344e58944e&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=874e5bc3-ce3c-4610-85f9-cfa169b8093d&langTag=bs
2009-12-02 00:00:00,Nastavak 64. sjednice Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1648&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=50bb22f2-e0f0-488d-bdbc-af5c7fd3fd93&langTag=bs,,,,,https://parlament.ba/session/DownloadDocument?DocumentId=fa69b3a5-9a75-42f0-8209-0bf569a28714&langTag=bs,
2009-11-24 00:00:00,64. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1647&ConvernerId=1,,https://parlament.ba/session/DownloadDocument?DocumentId=b4b6e129-fd0c-45d3-9a80-1e5d64404bf4&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=de1faccb-0a77-44da-a87e-652c57d27a19&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1647,,https://parlament.ba/session/DownloadDocument?DocumentId=04f9347f-62a7-457c-8ccd-a876e7e3aca8&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=2658cb97-f637-4c6f-bcbd-20f1e1e4a176&langTag=bs
2009-11-04 00:00:00,63. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1646&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=8e5cb2c3-0928-482f-a169-2f214005f899&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=cf32f749-2e8c-47b7-9366-0ef8b6269ac4&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=97e511d8-54f0-4ee7-8c15-a20e98f4ba32&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1646,,https://parlament.ba/session/DownloadDocument?DocumentId=a28bc86a-e734-4ec7-bb1c-47db9466fcc0&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=184f33c5-c736-4043-ae53-214370121eaf&langTag=bs
2009-10-14 00:00:00,62. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1645&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=83635368-2935-41c2-a13f-8c9ffcf83440&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=a13fe54c-1e6b-4e01-9b9f-78378325a2ce&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=499ac18a-03df-4f07-9a2d-20cc28b2fb53&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1645,,https://parlament.ba/session/DownloadDocument?DocumentId=ebc360f1-a855-4d0b-845b-ef23ece76306&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=0dd9777b-a9b8-46ca-befb-1ab272f246bf&langTag=bs
2009-09-30 00:00:00,61. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1644&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=977842d7-d7de-4a65-8619-6ebcc4154a7e&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=26edaa0c-545b-4000-a68e-7e30310eac10&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=b617384f-3f9f-4076-a9aa-dfad5efd54f9&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1644,,https://parlament.ba/session/DownloadDocument?DocumentId=df751150-5069-4b66-9d8d-96cf97eead1a&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=91cc0447-e87c-4705-8269-f1df0c73025c&langTag=bs
2009-09-16 00:00:00,60. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1643&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=4c613d71-9930-4c2d-95f1-24e769ae0489&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=8dddacf7-c735-49f3-b9a0-4116c87e3c25&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=f53e5484-7e1d-4576-b8ef-d33378451cba&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1643,,https://parlament.ba/session/DownloadDocument?DocumentId=a0430133-d995-46d1-9dd3-950a806f99df&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=b582a37d-0bfb-4a90-ad2e-4a2d38f9128d&langTag=bs
2009-09-02 00:00:00,59. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1642&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=1057f863-5eb2-44bd-a2da-70d071c7493d&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=a4bbb75c-3c0b-4f44-88e8-1b628281a37a&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=a1931a80-cc46-4341-9ca3-7ae72162c388&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1642,,https://parlament.ba/session/DownloadDocument?DocumentId=5ec42366-6db3-4122-a29d-60a033dd84ab&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=b21fe1e8-1303-45a8-a483-b32d3db84798&langTag=bs
2009-07-22 00:00:00,58. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1641&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=aab0df1f-6298-49f0-b743-9b528bedd180&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=0c90f084-a522-4c46-939e-fa6621d3d8d1&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=526b2fd2-0344-4316-9e17-bb96488fdc78&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1641,,https://parlament.ba/session/DownloadDocument?DocumentId=0fccfac3-3d62-4637-99e0-d53ad76d0528&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=2dc475bc-c62e-43a8-b174-8782112ade1f&langTag=bs
2009-07-08 00:00:00,57. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/SessionDetails?id=1640&ConvernerId=1,https://parlament.ba/session/DownloadDocument?DocumentId=8ef75626-2d09-4300-bc64-fd567ecd3e53&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=321e91fb-9ecf-468e-9949-f448c39de983&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=16b81cc9-25a0-4d54-8f35-16624b3b79df&langTag=bs,https://parlament.ba/session/QuestionForOldSession?SessionId=1640,,https://parlament.ba/session/DownloadDocument?DocumentId=8c7192e2-b17c-4694-acce-3085ba5188c8&langTag=bs,https://parlament.ba/session/DownloadDocument?DocumentId=2a63c73e-b4bf-4a5b-ad75-df0130cba9dc&langTag=bs
