video_id,mp4_video_link,pdf_link,session_date,session_title,session_url
2551,https://static.parlament.ba/doc/164809_15%20Sjednica%20Predstavnickog%20doma%20PSBiH%2030.01.2024.mp3,https://static.parlament.ba/doc/164717_15.%20PD%2030.01.2024_.pdf,2024-01-30 00:00:00,"15. sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2551&ConvernerId=1
2544,https://static.parlament.ba/doc/163657_10%20Hitna%20sjednica%20PDPSBiH%2029.12.2023.mp3,https://static.parlament.ba/doc/163674_10.%20hitna%20PD%2029.12.2023..pdf,2023-12-29 00:00:00,"10. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2544&ConvernerId=1
2543,https://static.parlament.ba/doc/163439_9.%20Hitna%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2021.12.2023..mp3,https://static.parlament.ba/doc/163716_9.%20hitna%20PD%2021.12.2023..pdf,2023-12-21 00:00:00,9. hitna sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2543&ConvernerId=1
2534,https://static.parlament.ba/doc/163440_14.%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2021.12.2023.mp3,https://static.parlament.ba/doc/163520_14.%20PD%2021.12.2023_.pdf,2023-12-21 00:00:00,14. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/OSessionDetails?id=2534&ConvernerId=1
2515,https://static.parlament.ba/doc/162063_13.%20sjednica%20Predstavnickog%20doma%20PSBiH%2020.11.2023..mp3,https://static.parlament.ba/doc/163717_13.sjed.%20Predstavni%c4%8dkog%20doma%2020112023.pdf,2023-11-20 00:00:00,"13. sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2515&ConvernerId=1
2514,https://static.parlament.ba/doc/161509_12.%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2031.10.2023..mp3,https://static.parlament.ba/doc/161672_12%20sjed.Predstavnickog%20doma%2031.10.2023_.pdf,2023-10-31 00:00:00,12. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2514&ConvernerId=1
2502,https://static.parlament.ba/doc/160334_7.%20Hitna%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2021.09.2023.mp3,https://static.parlament.ba/doc/160512_7.%20hitna%20sjednica%20PD%2021.09.2023_.pdf,2023-09-21 00:00:00,"7. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2502&ConvernerId=1
2499,https://static.parlament.ba/doc/160333_11.%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2021.09.2023..mp3,https://static.parlament.ba/doc/160345_11.sjed.%20Predstavnickog%20doma%2021.09.2023_.pdf,2023-09-21 00:00:00,11. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2499&ConvernerId=1
2495,https://static.parlament.ba/doc/159712_6.%20Hitna%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2029.08.2023.mp3,https://static.parlament.ba/doc/159811_6.%20hitna%20PD%2028.08.2023_.pdf,2023-08-28 00:00:00,"6. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2495&ConvernerId=1
2491,https://static.parlament.ba/doc/159326_5.%20Hitna%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2022.08.2023..mp3,https://static.parlament.ba/doc/159729_5.%20hitna%20PD%2022.08.2023_.pdf,2023-08-22 00:00:00,5. hitna sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2491&ConvernerId=1
2487,https://static.parlament.ba/doc/159327_10.%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2022.08.2023..mp3,https://static.parlament.ba/doc/159728_10.sjed.%20Predstavnickog%20doma%2022082023.pdf,2023-08-22 00:00:00,10. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2487&ConvernerId=1
2468,https://static.parlament.ba/doc/158687_9.%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2024.07.2023..mp3,"https://static.parlament.ba/doc/158851_9.%20sjed.%20Predstavni%c4%8dkog%20doma,%2024072023.pdf",2023-07-24 00:00:00,9. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2468&ConvernerId=1
2460,https://static.parlament.ba/doc/157919_8%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2005.07.2023.mp3,https://static.parlament.ba/doc/157965_8.%20sjed.%20Predstavnickog%20doma%2005072023.pdf,2023-07-05 00:00:00,8. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2460&ConvernerId=1
