convocation,session,order_no,transcript_url,recording_url
XI,2,24,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016748,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21417
XI,2,23,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016747,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21344
XI,2,22,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016746,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21320
XI,2,21,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016744,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21416
XI,2,20,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016743,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21325
XI,2,19,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016737,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21414
XI,2,18,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016736,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21312
XI,2,17,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016735,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21406
XI,2,16,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016734,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21329
XI,2,15,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016733,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21413
XI,2,14,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016732,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21314
XI,2,13,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016731,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21311
XI,2,12,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016723,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21359
XI,2,11,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016722,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21358
XI,2,10,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016721,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21375
XI,2,9,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016720,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21313
XI,2,8,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016719,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21309
XI,2,7,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016718,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21338
XI,2,6,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016717,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21380
XI,2,5,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016716,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21308
XI,2,4,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016715,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21328
XI,2,3,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016714,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21374
XI,2,2,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016713,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21373
XI,2,1,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016712,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21310
XI,2,-,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016711,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21289
XI,1,17,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016706,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21286
XI,1,16,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016705,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21285
