video_id,mp3_link,docx_link,doc_link
11_141_28092009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 141 28-09-2009 1800hrs.mp3,,https://parlament.mt/media/36243/20090928_141d_par.doc
11_142_29092009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 142 29-09-2009 1800hrs.mp3,,https://parlament.mt/media/36239/20090929_142d_par.doc
11_143_30092009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 143 30-09-2009 1800hrs.mp3,,https://parlament.mt/media/36235/20090930_143d_par.doc
11_144_05102009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 144 05-10-2009 1800hrs.mp3,,https://parlament.mt/media/36231/20091005_144d_par.doc
11_145_06102009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 145 06-10-2009 1800hrs.mp3,,https://parlament.mt/media/36227/20091006_145d_par.doc
11_146_12102009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 146 12-10-2009 1800hrs.mp3,,https://parlament.mt/media/36223/20091012_146d_par.doc
11_147_13102009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 147 13-10-2009 1800hrs.mp3,,https://parlament.mt/media/36219/20091013_147d_par.doc
11_148_19102009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 148 19-10-2009 1800hrs.mp3,,https://parlament.mt/media/36215/20091019_148d_par.doc
11_149_21102009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 149 21-10-2009 1800hrs.mp3,,https://parlament.mt/media/36211/20091021_149d_par.doc
11_150_26102009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 150 26-10-2009 1800hrs.mp3,,https://parlament.mt/media/36207/20091026_150d_par.doc
11_151_27102009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 151 27-10-2009 1800hrs.mp3,,https://parlament.mt/media/36203/20091027_151d_par.doc
11_152_28102009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 152 28-10-2009 1800hrs.mp3,,https://parlament.mt/media/36199/20091028_152d_par.doc
11_153_02112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 153 02-11-2009 1800hrs.mp3,,https://parlament.mt/media/36195/20091102_153d_par.doc
11_154_03112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 154 03-11-2009 1800hrs.mp3,,https://parlament.mt/media/36187/20091103_154d_par.doc
11_155_04112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 155 04-11-2009 1800hrs.mp3,,https://parlament.mt/media/36183/20091104_155d_par.doc
11_156_09112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 156 09-11-2009 1800hrs.mp3,,https://parlament.mt/media/36191/20091109_156d_par.doc
11_157_10112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 157 10-11-2009 1800hrs.mp3,,https://parlament.mt/media/36179/20091110_157d_par.doc
11_158_11112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 158 11-11-2009 1800hrs.mp3,,https://parlament.mt/media/36175/20091111_158d_par.doc
11_159_16112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 159 16-11-2009 1800hrs.mp3,,https://parlament.mt/media/36171/20091116_159d_par.doc
11_160_17112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 160 17-11-2009 1800hrs.mp3,,https://parlament.mt/media/36167/20091117_160d_par.doc
11_161_18112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 161 18-11-2009 1800hrs.mp3,,https://parlament.mt/media/36163/20091118_161d_par.doc
11_162_19112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 162 19-11-2009 0900hrs.mp3,,https://parlament.mt/media/36159/20091119_162d_par.doc
11_163_19112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 163 19-11-2009 1630hrs.mp3,,https://parlament.mt/media/36155/20091119_163d_par.doc
11_164_20112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 164 20-11-2009 0900hrs.mp3,,https://parlament.mt/media/36151/20091120_164d_par.doc
11_165_20112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 165 20-11-2009 1730hrs.mp3,,https://parlament.mt/media/36147/20091120_165d_par.doc
11_166_21112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 166 21-11-2009 0900hrs.mp3,,https://parlament.mt/media/36143/20091121_166d_par.doc
11_167_23112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 167 23-11-2009 0900hrs.mp3,,https://parlament.mt/media/36139/20091123_167d_par.doc
11_168_23112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 168 23-11-2009 1700hrs.mp3,,https://parlament.mt/media/36135/20091123_168d_par.doc
11_169_24112009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 169 24-11-2009 0910hrs.mp3,,https://parlament.mt/media/36131/20091124_169d_par.doc
