video_id,mp3_link
11_094_18032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 094 18-03-2009 1800hrs.mp3
11_095_23032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 095 23-03-2009 1800hrs.mp3
11_096_24032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 096 24-03-2009 1800hrs.mp3
11_097_25032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 097 25-03-2009 1800hrs.mp3
11_098_01042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 098 01-04-2009 1800hrs.mp3
11_099_04042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 099 04-04-2009 1203hrs.mp3
11_100_20042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 100 20-04-2009 1800hrs.mp3
11_101_21042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 101 21-04-2009 1800hrs.mp3
11_102_22042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 102 22-04-2009 1000hrs.mp3
11_103_22042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 103 22-04-2009 1800hrs.mp3
11_104_27042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 104 27-04-2009 1800hrs.mp3
11_105_28042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 105 28-04-2009 1800hrs.mp3
11_106_29042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 106 29-04-2009 1800hrs.mp3
11_107_30042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 107 30-04-2009 1800hrs.mp3
11_108_11052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 108 11-05-2009 0900hrs.mp3
11_109_11052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 109 11-05-2009 1800hrs.mp3
11_110_12052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 110 12-05-2009 0900hrs.mp3
11_111_12052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 111 12-05-2009 1800hrs.mp3
11_112_13052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 112 13-05-2009 1800hrs.mp3
11_113_18052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 113 18-05-2009 1800hrs.mp3
